02/01/16,West Brom,Stoke,West Brom,2:1
02/01/16,West Ham,Liverpool,West Ham,3:0
03/01/16,Crystal Palace,Chelsea,Crystal Palace,0:4
03/01/16,Everton,Tottenham,Everton,2:2
12/01/16,Aston Villa,Crystal Palace,Aston Villa,1:0
12/01/16,Bournemouth,West Ham,Bournemouth,2:3
12/01/16,Newcastle,Man United,Newcastle,4:5
13/01/16,Chelsea,West Brom,Chelsea,3:3
13/01/16,Liverpool,Arsenal,Liverpool,5:5
13/01/16,Man City,Everton,Man City,0:0
13/01/16,Southampton,Watford,Southampton,3:0
13/01/16,Stoke,Norwich,Stoke,3:1
13/01/16,Swansea,Sunderland,Swansea,4:5
13/01/16,Tottenham,Leicester,Tottenham,0:1
16/01/16,Aston Villa,Leicester,Aston Villa,1:2
16/01/16,Bournemouth,Norwich,Bournemouth,4:0
16/01/16,Chelsea,Everton,Chelsea,3:3
16/01/16,Man City,Crystal Palace,Man City,6:0
16/01/16,Newcastle,West Ham,Newcastle,4:1
16/01/16,Southampton,West Brom,Southampton,5:0
16/01/16,Tottenham,Sunderland,Tottenham,5:2
17/01/16,Liverpool,Man United,Liverpool,0:1
17/01/16,Stoke,Arsenal,Stoke,0:0
18/01/16,Swansea,Watford,Swansea,2:0
23/01/16,Crystal Palace,Tottenham,Crystal Palace,2:3
23/01/16,Leicester,Stoke,Leicester,4:0
23/01/16,Man United,Southampton,Man United,0:1
23/01/16,Norwich,Liverpool,Norwich,6:6
23/01/16,Sunderland,Bournemouth,Sunderland,2:2
23/01/16,Watford,Newcastle,Watford,2:1
23/01/16,West Brom,Aston Villa,West Brom,0:0
23/01/16,West Ham,Man City,West Ham,3:3
24/01/16,Arsenal,Chelsea,Arsenal,0:2
24/01/16,Everton,Swansea,Everton,2:4
02/02/16,Arsenal,Southampton,Arsenal,0:0
02/02/16,Crystal Palace,Bournemouth,Crystal Palace,2:3
02/02/16,Leicester,Liverpool,Leicester,2:0
02/02/16,Man United,Stoke,Man United,5:0
02/02/16,Norwich,Tottenham,Norwich,0:5
02/02/16,Sunderland,Man City,Sunderland,0:2
02/02/16,West Brom,Swansea,West Brom,1:1
02/02/16,West Ham,Aston Villa,West Ham,2:0
03/02/16,Everton,Newcastle,Everton,4:0
03/02/16,Watford,Chelsea,Watford,0:0
